workload,size,platform,metric,max_threads,regret_pct
AXPY,128000000,INTEL,energy,20,77.83212832273875
AXPY,128000000,INTEL,edp,20,78.64593451372738
AXPY,256000000,AMD,runtime,64,5.44098399253663
AXPY,256000000,AMD,energy,64,84.59652396792723
AXPY,256000000,AMD,edp,64,94.81330892349837
AXPY,256000000,INTEL,runtime,20,7.136314228565732
AXPY,256000000,INTEL,energy,20,75.38499243167178
AXPY,256000000,INTEL,edp,20,75.74855188820429
CONV2D,1,AMD,runtime,64,0.5919453538027142
CONV2D,1,AMD,energy,64,2.0103727218299783
CONV2D,1,AMD,edp,64,2.5738097489828027
CONV2D,1,INTEL,runtime,20,0.0
CONV2D,1,INTEL,energy,20,0.0
CONV2D,1,INTEL,edp,20,0.0
CONV2D,2,AMD,runtime,64,2.8109287100009928
CONV2D,2,AMD,energy,64,0.0
CONV2D,2,AMD,edp,64,0.0
CONV2D,2,INTEL,runtime,20,0.0
CONV2D,2,INTEL,energy,20,0.0
CONV2D,2,INTEL,edp,20,0.0
CONV2D,3,AMD,runtime,64,2.776551174111841
CONV2D,3,AMD,energy,64,0.0
CONV2D,3,AMD,edp,64,0.0
CONV2D,3,INTEL,runtime,20,0.0
CONV2D,3,INTEL,energy,20,8.993828511533387
CONV2D,3,INTEL,edp,20,8.470972766284369
CONV2D,4,AMD,runtime,64,3.0913287423104174
CONV2D,4,AMD,energy,64,0.0
CONV2D,4,AMD,edp,64,0.0
CONV2D,4,INTEL,runtime,20,0.0
CONV2D,4,INTEL,energy,20,4.722906222793899
CONV2D,4,INTEL,edp,20,4.2193014389134476
CONV2D,5,AMD,runtime,64,0.0
CONV2D,5,AMD,energy,64,0.0
CONV2D,5,AMD,edp,64,0.0
CONV2D,5,INTEL,runtime,20,2.3139105953949635
CONV2D,5,INTEL,energy,20,3.6012831577708626
CONV2D,5,INTEL,edp,20,5.2588689387773835
CONV2D,6,AMD,runtime,64,1.1429514259009288
CONV2D,6,AMD,energy,64,0.0
CONV2D,6,AMD,edp,64,0.0
CONV2D,6,INTEL,runtime,20,0.0
CONV2D,6,INTEL,energy,20,0.9777892069073202
CONV2D,6,INTEL,edp,20,0.0
GEMM,64,AMD,runtime,64,0.3800354476478196
GEMM,64,AMD,energy,64,1.1814763644616866
GEMM,64,AMD,edp,64,1.6445886024516687
GEMM,64,INTEL,runtime,20,2.233338759830983
GEMM,64,INTEL,energy,20,1.6857564748485432
GEMM,64,INTEL,edp,20,4.228634369997275
GEMM,128,AMD,runtime,64,25.673982746469058
GEMM,128,AMD,energy,64,33.81560816231204
GEMM,128,AMD,edp,64,67.40759275349248
GEMM,128,INTEL,runtime,20,3.3812018097035157
GEMM,128,INTEL,energy,20,28.959245190142013
GEMM,128,INTEL,edp,20,27.696887391645177
GEMM,256,AMD,runtime,64,7.2970908410937785
GEMM,256,AMD,energy,64,56.66148940791005
GEMM,256,AMD,edp,64,46.174875901495405
GEMM,256,INTEL,runtime,20,52.19578820989281
GEMM,256,INTEL,energy,20,67.11899358739564
GEMM,256,INTEL,edp,20,148.41299569792605
GEMM,512,AMD,runtime,64,39.71390088036502
GEMM,512,AMD,energy,64,73.1198952425605
GEMM,512,AMD,edp,64,141.9511972905791
GEMM,512,INTEL,runtime,20,20.301122477660094
GEMM,512,INTEL,energy,20,29.78177627750398
GEMM,512,INTEL,edp,20,52.148837940166715
GEMM,1024,AMD,runtime,64,0.0
GEMM,1024,AMD,energy,64,11.921927080961625
GEMM,1024,AMD,edp,64,2.5633517609285894
GEMM,1024,INTEL,runtime,20,19.3356903649333
GEMM,1024,INTEL,energy,20,25.845666592938123
GEMM,1024,INTEL,edp,20,47.54433888230692
GEMM,2048,AMD,runtime,64,0.0
GEMM,2048,AMD,energy,64,0.0
GEMM,2048,AMD,edp,64,0.0
GEMM,2048,INTEL,runtime,20,94.50644953632734
GEMM,2048,INTEL,energy,20,101.54122188881236
GEMM,2048,INTEL,edp,20,284.3507383425574
GEMM,4096,AMD,runtime,64,7.139201423180985
GEMM,4096,AMD,energy,64,0.0
GEMM,4096,AMD,edp,64,0.0
GEMM,4096,INTEL,runtime,20,71.54387865655471
GEMM,4096,INTEL,energy,20,66.77333979960798
GEMM,4096,INTEL,edp,20,181.2745534901725
GEMM,8192,AMD,runtime,64,4.9768651280698295
GEMM,8192,AMD,energy,64,0.0
GEMM,8192,AMD,edp,64,0.0
GEMM,8192,INTEL,runtime,20,50.42280862513706
GEMM,8192,INTEL,energy,20,49.77038028548528
GEMM,8192,INTEL,edp,20,116.70902570659436
GEMM,16384,AMD,runtime,64,5.047004385903442
GEMM,16384,AMD,energy,64,0.0
GEMM,16384,AMD,edp,64,0.0
GEMM,16384,INTEL,runtime,20,36.16384238825676
GEMM,16384,INTEL,energy,20,35.84202761486244
GEMM,16384,INTEL,edp,20,80.65214978746333
REDUCTION,1000000,AMD,runtime,64,295.6953469316789
REDUCTION,1000000,AMD,energy,64,458.19787096435516
REDUCTION,1000000,AMD,edp,64,2108.7344326247576
REDUCTION,1000000,INTEL,runtime,20,0.0
REDUCTION,1000000,INTEL,energy,20,0.0
REDUCTION,1000000,INTEL,edp,20,0.0
REDUCTION,2000000,AMD,runtime,64,198.0095766091423
REDUCTION,2000000,AMD,energy,64,273.0195851215939
REDUCTION,2000000,AMD,edp,64,1004.4066495731456
REDUCTION,2000000,INTEL,runtime,20,5.010372390702655
REDUCTION,2000000,INTEL,energy,20,0.0
REDUCTION,2000000,INTEL,edp,20,0.0
REDUCTION,4000000,AMD,runtime,64,0.0
REDUCTION,4000000,AMD,energy,64,0.0
REDUCTION,4000000,AMD,edp,64,0.0
REDUCTION,4000000,INTEL,runtime,20,9.645141914993394
REDUCTION,4000000,INTEL,energy,20,5.576838530712336
REDUCTION,4000000,INTEL,edp,20,6.880526774427809
REDUCTION,8000000,AMD,runtime,64,74.14188341635123
REDUCTION,8000000,AMD,energy,64,78.16114378059716
REDUCTION,8000000,AMD,edp,64,206.15902218915502
REDUCTION,8000000,INTEL,runtime,20,6.65610318229386
REDUCTION,8000000,INTEL,energy,20,22.252611930643916
REDUCTION,8000000,INTEL,edp,20,17.016829467210904
REDUCTION,16000000,AMD,runtime,64,38.556428136005636
REDUCTION,16000000,AMD,energy,64,30.588284032102052
REDUCTION,16000000,AMD,edp,64,78.45017473776528
REDUCTION,16000000,INTEL,runtime,20,4.388452945160282
REDUCTION,16000000,INTEL,energy,20,60.6348674808785
REDUCTION,16000000,INTEL,edp,20,61.31326669173494
REDUCTION,32000000,AMD,runtime,64,16.898398809527194
REDUCTION,32000000,AMD,energy,64,19.907070041941076
REDUCTION,32000000,AMD,edp,64,40.169444938447384
REDUCTION,32000000,INTEL,runtime,20,4.771129686303044
REDUCTION,32000000,INTEL,energy,20,67.71712152116771
REDUCTION,32000000,INTEL,edp,20,70.53929768296112
REDUCTION,64000000,AMD,runtime,64,6.914569017616179
REDUCTION,64000000,AMD,energy,64,57.40398933562481
REDUCTION,64000000,AMD,edp,64,56.01021147788223
REDUCTION,64000000,INTEL,runtime,20,4.339724292819369
REDUCTION,64000000,INTEL,energy,20,73.16971876577627
REDUCTION,64000000,INTEL,edp,20,78.53902254935797
REDUCTION,128000000,AMD,runtime,64,6.251929779104715
REDUCTION,128000000,AMD,energy,64,64.22773762904353
REDUCTION,128000000,AMD,edp,64,58.19694675101479
REDUCTION,128000000,INTEL,runtime,20,3.098054862350219
REDUCTION,128000000,INTEL,energy,20,68.67748335769237
REDUCTION,128000000,INTEL,edp,20,72.47752919081631
REDUCTION,256000000,AMD,runtime,64,5.701324741493652
REDUCTION,256000000,AMD,energy,64,67.09331751675975
REDUCTION,256000000,AMD,edp,64,67.38884148271329
REDUCTION,256000000,INTEL,runtime,20,1.9964254723948027
REDUCTION,256000000,INTEL,energy,20,71.52735446977738
REDUCTION,256000000,INTEL,edp,20,74.1937530022229
STREAM,1000000,AMD,runtime,64,161.57391891321763
STREAM,1000000,AMD,energy,64,148.87623853225952
STREAM,1000000,AMD,edp,64,537.2182063899007
STREAM,1000000,INTEL,runtime,20,4.883694756360923
STREAM,1000000,INTEL,energy,20,4.406818352875619
STREAM,1000000,INTEL,edp,20,9.330286516905684
STREAM,2000000,AMD,runtime,64,100.3918247897941
STREAM,2000000,AMD,energy,64,77.13244114203175
STREAM,2000000,AMD,edp,64,254.59719762532606
STREAM,2000000,INTEL,runtime,20,12.55455065345943
STREAM,2000000,INTEL,energy,20,6.69479060365421
STREAM,2000000,INTEL,edp,20,25.647900894085307
STREAM,4000000,AMD,runtime,64,52.89509812022957
STREAM,4000000,AMD,energy,64,34.18974233679457
STREAM,4000000,AMD,edp,64,104.44934700885344
STREAM,4000000,INTEL,runtime,20,10.705028735194322
STREAM,4000000,INTEL,energy,20,70.19826030776915
STREAM,4000000,INTEL,edp,20,80.07602446065818
STREAM,8000000,AMD,runtime,64,28.844849090855806
STREAM,8000000,AMD,energy,64,22.446958757375278
STREAM,8000000,AMD,edp,64,55.611234833945076
STREAM,8000000,INTEL,runtime,20,12.2730173090271
STREAM,8000000,INTEL,energy,20,80.38847128817656
STREAM,8000000,INTEL,edp,20,91.23776045019862
STREAM,16000000,AMD,runtime,64,11.174963981693953
STREAM,16000000,AMD,energy,64,52.095024456306206
STREAM,16000000,AMD,edp,64,70.34860042664181
STREAM,16000000,INTEL,runtime,20,9.70034017296224
STREAM,16000000,INTEL,energy,20,84.97466342854372
STREAM,16000000,INTEL,edp,20,91.76241151767863
STREAM,32000000,AMD,runtime,64,5.743088898632087
STREAM,32000000,AMD,energy,64,73.86082674399115
STREAM,32000000,AMD,edp,64,83.61626858072009
STREAM,32000000,INTEL,runtime,20,8.467663870276109
STREAM,32000000,INTEL,energy,20,85.4849719938251
STREAM,32000000,INTEL,edp,20,88.556981727239
STREAM,64000000,AMD,runtime,64,5.902077096567293
STREAM,64000000,AMD,energy,64,86.56548941888511
STREAM,64000000,AMD,edp,64,97.37726371806991
STREAM,64000000,INTEL,runtime,20,5.461101751330544
STREAM,64000000,INTEL,energy,20,81.64131243892774
STREAM,64000000,INTEL,edp,20,78.22123255364666
STREAM,128000000,AMD,runtime,64,6.377822740885963
STREAM,128000000,AMD,energy,64,84.76563593639281
STREAM,128000000,AMD,edp,64,96.73335730466925
STREAM,128000000,INTEL,runtime,20,4.064595612999566
STREAM,128000000,INTEL,energy,20,78.79533583076568
STREAM,128000000,INTEL,edp,20,70.2848338768504
STREAM,256000000,AMD,runtime,64,6.888637664043107
STREAM,256000000,AMD,energy,64,83.26145648690073
STREAM,256000000,AMD,edp,64,96.01834884099367
STREAM,256000000,INTEL,runtime,20,1.5460082730340385
STREAM,256000000,INTEL,energy,20,76.05800963740077
STREAM,256000000,INTEL,edp,20,63.464599187537104
STRIDED_GEMM,64,AMD,runtime,64,0.5036312502366913
STRIDED_GEMM,64,AMD,energy,64,1.0452535714896571
STRIDED_GEMM,64,AMD,edp,64,1.5419776793435647
STRIDED_GEMM,64,INTEL,runtime,20,8.225315202191474
STRIDED_GEMM,64,INTEL,energy,20,32.08069683951544
STRIDED_GEMM,64,INTEL,edp,20,49.83611201176783
STRIDED_GEMM,128,AMD,runtime,64,28.856096432080225
STRIDED_GEMM,128,AMD,energy,64,36.6375316887547
STRIDED_GEMM,128,AMD,edp,64,75.95199209459085
STRIDED_GEMM,128,INTEL,runtime,20,2.363268268807728
STRIDED_GEMM,128,INTEL,energy,20,26.630124004354762
STRIDED_GEMM,128,INTEL,edp,20,23.203152207337553
STRIDED_GEMM,256,AMD,runtime,64,17.68020619880115
STRIDED_GEMM,256,AMD,energy,64,59.866866585399414
STRIDED_GEMM,256,AMD,edp,64,66.85770614720734
STRIDED_GEMM,256,INTEL,runtime,20,45.45542835877807
STRIDED_GEMM,256,INTEL,energy,20,62.46954357424872
STRIDED_GEMM,256,INTEL,edp,20,131.06437182017095
STRIDED_GEMM,512,AMD,runtime,64,37.731780899070614
STRIDED_GEMM,512,AMD,energy,64,70.90872925757364
STRIDED_GEMM,512,AMD,edp,64,135.4469168701668
STRIDED_GEMM,512,INTEL,runtime,20,20.292538121093507
STRIDED_GEMM,512,INTEL,energy,20,30.488114392938638
STRIDED_GEMM,512,INTEL,edp,20,54.766324865403824
STRIDED_GEMM,1024,AMD,runtime,64,10.636456499472335
STRIDED_GEMM,1024,AMD,energy,64,15.290513664627436
STRIDED_GEMM,1024,AMD,edp,64,23.1265348471827
STRIDED_GEMM,1024,INTEL,runtime,20,11.529354773402488
STRIDED_GEMM,1024,INTEL,energy,20,29.091564848146014
STRIDED_GEMM,1024,INTEL,edp,20,39.36593476652715
STRIDED_GEMM,2048,AMD,runtime,64,0.0
STRIDED_GEMM,2048,AMD,energy,64,0.0
STRIDED_GEMM,2048,AMD,edp,64,0.0
STRIDED_GEMM,2048,INTEL,runtime,20,96.13907471327241
STRIDED_GEMM,2048,INTEL,energy,20,92.27920080124483
STRIDED_GEMM,2048,INTEL,edp,20,286.84608418820454
STRIDED_GEMM,4096,AMD,runtime,64,7.643177339194285
STRIDED_GEMM,4096,AMD,energy,64,0.0
STRIDED_GEMM,4096,AMD,edp,64,0.5798502112925208
STRIDED_GEMM,4096,INTEL,runtime,20,68.4294495637447
STRIDED_GEMM,4096,INTEL,energy,20,65.37230171126636
STRIDED_GEMM,4096,INTEL,edp,20,166.55108908805852
STRIDED_GEMM,8192,AMD,runtime,64,4.6171748727715345
STRIDED_GEMM,8192,AMD,energy,64,0.0
STRIDED_GEMM,8192,AMD,edp,64,0.0
STRIDED_GEMM,8192,INTEL,runtime,20,33.8944550959483
STRIDED_GEMM,8192,INTEL,energy,20,39.02065852548922
STRIDED_GEMM,8192,INTEL,edp,20,80.43503606767104
STRIDED_GEMM,16384,AMD,runtime,64,5.831932521208172
STRIDED_GEMM,16384,AMD,energy,64,0.0
STRIDED_GEMM,16384,AMD,edp,64,0.0
STRIDED_GEMM,16384,INTEL,runtime,20,27.20469172914697
STRIDED_GEMM,16384,INTEL,energy,20,30.33269501547513
STRIDED_GEMM,16384,INTEL,edp,20,61.1437237650607
